session_id,gps_date,gps_time,latitude,longitude,velocity,course,satellites_in_view,satellites_used,hdop,label
20260609_190003,6/9/2026,0:01:10,32.1006133,36.1121927,1.365,4.72,10,7,1.14,0
20260609_190003,6/9/2026,0:01:11,32.1006235,36.1121952,1.352,4.27,10,6,1.52,0
20260609_190003,6/9/2026,0:01:12,32.1006337,36.1121987,1.388,3.26,10,7,1.52,0
20260609_190003,6/9/2026,0:01:13,32.1006443,36.1122013,1.443,2.31,10,8,1.52,0
20260609_190003,6/9/2026,0:01:14,32.1006557,36.1122043,1.473,3.0,11,8,1.52,0
20260609_190003,6/9/2026,0:01:15,32.1006655,36.1122045,1.393,2.45,11,8,0.99,0
20260609_190003,6/9/2026,0:01:16,32.1006752,36.1122052,1.336,3.05,11,8,0.99,0
20260609_190003,6/9/2026,0:01:17,32.1006855,36.1122053,1.364,2.32,11,8,0.99,0
20260609_190003,6/9/2026,0:01:18,32.1006957,36.112205,1.306,0.14,11,8,0.99,0
20260609_190003,6/9/2026,0:01:19,32.1007063,36.1122043,1.413,358.98,11,8,0.99,0
20260609_190003,6/9/2026,0:01:20,32.1007167,36.1122028,1.417,359.4,11,8,0.99,0
20260609_190003,6/9/2026,0:01:21,32.1007248,36.1122018,1.204,359.4,11,8,1.14,0
20260609_190003,6/9/2026,0:01:22,32.1007308,36.1122012,1.015,356.71,11,8,0.99,0
20260609_190003,6/9/2026,0:01:23,32.1007382,36.1121992,1.214,355.57,11,7,1.14,0
20260609_190003,6/9/2026,0:01:24,32.1007488,36.112197,1.378,355.52,11,8,1.14,0
20260609_190003,6/9/2026,0:01:25,32.1007598,36.1121955,1.372,355.84,11,8,1.14,0
20260609_190003,6/9/2026,0:01:26,32.1007708,36.1121958,1.343,0.18,11,8,1.14,0
20260609_190003,6/9/2026,0:01:27,32.100781,36.112194,1.338,359.29,11,8,0.99,0
20260609_190003,6/9/2026,0:01:28,32.1007925,36.1121932,1.423,357.99,11,8,1.14,0
20260609_190003,6/9/2026,0:01:29,32.1008038,36.112191,1.432,356.24,11,8,1.14,0
20260609_190003,6/9/2026,0:01:30,32.1008145,36.1121895,1.368,357.61,11,8,0.99,0
20260609_190003,6/9/2026,0:01:31,32.1008255,36.1121902,1.405,2.89,11,8,0.99,0
20260609_190003,6/9/2026,0:01:32,32.1008382,36.112192,1.564,5.41,11,8,0.99,0
20260609_190003,6/9/2026,0:01:33,32.1008498,36.1121933,1.475,6.21,11,7,1.14,0
20260609_190003,6/9/2026,0:01:34,32.1008605,36.1121938,1.377,5.37,11,7,1.14,0
20260609_190003,6/9/2026,0:01:35,32.1008715,36.1121933,1.351,2.21,11,7,1.14,0
20260609_190003,6/9/2026,0:01:36,32.1008828,36.1121932,1.371,2.1,11,7,1.14,0
20260609_190003,6/9/2026,0:01:37,32.1008943,36.112193,1.402,1.57,11,7,1.14,0
20260609_190003,6/9/2026,0:01:38,32.1009063,36.1121927,1.448,0.84,11,7,1.14,0
20260609_190003,6/9/2026,0:01:39,32.100918,36.112193,1.391,2.02,11,7,1.14,0
20260609_190003,6/9/2026,0:01:40,32.1009297,36.112193,1.371,1.8,11,7,1.14,0
20260609_190003,6/9/2026,0:01:41,32.100942,36.1121935,1.44,3.65,11,7,1.14,0
20260609_190003,6/9/2026,0:01:42,32.100954,36.1121948,1.418,6.54,11,8,1.14,0
20260609_190003,6/9/2026,0:01:43,32.1009665,36.1121953,1.453,5.25,11,7,1.14,0
20260609_190003,6/9/2026,0:01:44,32.100979,36.1121957,1.462,4.57,11,8,1.14,0
20260609_190003,6/9/2026,0:01:45,32.1009913,36.1121962,1.472,4.62,11,8,1.14,0
20260609_190003,6/9/2026,0:01:46,32.1010038,36.1121965,1.432,3.93,11,8,1.14,0
20260609_190003,6/9/2026,0:01:47,32.101015,36.1121962,1.412,4.35,11,8,0.99,0
20260609_190003,6/9/2026,0:01:48,32.1010263,36.1121965,1.385,4.24,11,8,0.99,0
20260609_190003,6/9/2026,0:01:49,32.1010375,36.1121965,1.313,3.23,11,8,1.14,0
20260609_190003,6/9/2026,0:01:50,32.1010492,36.1121977,1.324,5.81,11,8,0.99,0
20260609_190003,6/9/2026,0:01:51,32.1010597,36.1121988,1.262,6.69,11,8,0.99,0
20260609_190003,6/9/2026,0:01:52,32.1010733,36.1121998,1.465,3.43,11,8,1.14,0
20260609_190003,6/9/2026,0:01:53,32.101086,36.1122003,1.52,3.23,11,8,1.14,0
20260609_190003,6/9/2026,0:01:54,32.101098,36.1122002,1.488,3.29,11,8,0.99,0
20260609_190003,6/9/2026,0:01:55,32.1011103,36.1121993,1.496,0.34,11,8,0.99,0
20260609_190003,6/9/2026,0:01:56,32.1011228,36.112198,1.52,359.52,11,8,0.99,0
20260609_190003,6/9/2026,0:01:57,32.1011348,36.1121977,1.469,0.48,11,8,0.99,0
20260609_190003,6/9/2026,0:01:58,32.101147,36.1121978,1.475,2.07,11,8,0.99,0
20260609_190003,6/9/2026,0:01:59,32.1011598,36.1121978,1.457,2.35,11,8,0.99,0
20260609_190003,6/9/2026,0:02:00,32.1011725,36.112198,1.473,3.21,11,8,0.99,0
20260609_190003,6/9/2026,0:02:01,32.1011852,36.1121978,1.463,2.12,11,8,0.99,0
20260609_190003,6/9/2026,0:02:02,32.1011978,36.1121982,1.472,2.35,11,8,0.99,0
20260609_190003,6/9/2026,0:02:03,32.1012115,36.1121973,1.566,0.78,11,8,0.99,0
20260609_190003,6/9/2026,0:02:04,32.1012243,36.112197,1.457,0.63,11,8,0.99,0
20260609_190003,6/9/2026,0:02:05,32.1012355,36.1121975,1.358,1.89,11,8,0.99,0
20260609_190003,6/9/2026,0:02:06,32.101247,36.1121972,1.323,2.02,11,8,0.99,0
20260609_190003,6/9/2026,0:02:07,32.1012587,36.112197,1.353,1.16,11,8,0.99,0
20260609_190003,6/9/2026,0:02:08,32.1012708,36.1121973,1.432,2.21,11,8,1.14,0
20260609_190003,6/9/2026,0:02:09,32.101284,36.1121985,1.455,3.4,11,7,1.14,0
20260609_190003,6/9/2026,0:02:10,32.101297,36.1121998,1.441,4.09,11,8,1.14,0
20260609_190003,6/9/2026,0:02:11,32.1013093,36.1122002,1.382,3.19,11,8,1.14,0
20260609_190003,6/9/2026,0:02:12,32.1013218,36.1122003,1.394,2.27,11,8,0.99,0
20260609_190003,6/9/2026,0:02:13,32.1013347,36.1122007,1.411,1.7,11,8,1.14,0
20260609_190003,6/9/2026,0:02:14,32.1013463,36.1122013,1.366,2.14,11,8,0.99,0
20260609_190003,6/9/2026,0:02:15,32.1013592,36.1122028,1.507,6.24,11,8,0.99,0
20260609_190003,6/9/2026,0:02:16,32.101373,36.1122055,1.62,7.8,11,8,0.99,0
20260609_190003,6/9/2026,0:02:17,32.1013877,36.1122087,1.691,9.09,11,8,0.99,0
