session_id,gps_date,gps_time,latitude,longitude,velocity,course,satellites_in_view,satellites_used,hdop,label
20260608_080029,6/8/2026,0:00:30,32.0952277,36.0899823,0.032,0,12,10,0.8,0
20260608_080029,6/8/2026,0:00:31,32.0952277,36.0899823,0.006,0,12,10,0.8,0
20260608_080029,6/8/2026,0:00:32,32.0952277,36.089982,0.026,0,12,10,0.8,0
20260608_080029,6/8/2026,0:00:33,32.0952277,36.0899817,0.023,0,12,10,0.8,0
20260608_080029,6/8/2026,0:00:34,32.0952277,36.0899813,0.027,0,12,10,0.8,0
20260608_080029,6/8/2026,0:00:35,32.0952278,36.089981,0.009,0,12,10,0.8,0
20260608_080029,6/8/2026,0:00:36,32.0952277,36.0899805,0.004,0,12,10,0.8,0
20260608_080029,6/8/2026,0:00:37,32.0952277,36.0899798,0.016,0,12,10,0.8,0
20260608_080029,6/8/2026,0:00:38,32.0952278,36.0899795,0.011,0,12,10,0.8,0
20260608_080029,6/8/2026,0:00:39,32.0952278,36.0899798,0.011,0,12,10,0.8,0
20260608_080029,6/8/2026,0:00:40,32.095228,36.08998,0.008,0,12,10,0.8,0
20260608_080029,6/8/2026,0:00:41,32.095228,36.0899802,0.009,0,12,10,0.8,0
20260608_080029,6/8/2026,0:00:42,32.095228,36.0899802,0.011,0,12,10,0.8,0
20260608_080029,6/8/2026,0:00:43,32.095228,36.0899802,0.01,0,12,10,0.8,0
20260608_080029,6/8/2026,0:00:44,32.0952278,36.08998,0.006,0,12,10,0.8,0
20260608_080029,6/8/2026,0:00:45,32.0952278,36.08998,0.008,0,12,10,0.8,0
20260608_080029,6/8/2026,0:00:46,32.095228,36.0899803,0.006,0,12,10,0.8,0
20260608_080029,6/8/2026,0:00:47,32.095228,36.0899805,0.01,0,12,10,0.8,0
20260608_080029,6/8/2026,0:00:48,32.0952278,36.0899805,0.017,0,12,10,0.8,0
20260608_080029,6/8/2026,0:00:49,32.0952275,36.0899807,0.006,0,12,10,0.8,0
20260608_080029,6/8/2026,0:00:50,32.0952273,36.0899805,0.003,0,12,10,0.8,0
20260608_080029,6/8/2026,0:00:51,32.0952275,36.0899807,0.003,0,12,10,0.8,0
20260608_080029,6/8/2026,0:00:52,32.0952273,36.0899808,0.006,0,12,10,0.8,0
20260608_080029,6/8/2026,0:00:53,32.0952273,36.0899812,0.053,0,12,10,0.8,0
20260608_080029,6/8/2026,0:00:54,32.0952272,36.0899812,0.012,0,12,10,0.8,0
20260608_080029,6/8/2026,0:00:55,32.095227,36.0899808,0.029,0,12,10,0.8,0
20260608_080029,6/8/2026,0:00:56,32.0952268,36.0899805,0.006,0,12,10,0.8,0
20260608_080029,6/8/2026,0:00:57,32.0952265,36.08998,0.008,0,12,10,0.8,0
20260608_080029,6/8/2026,0:00:58,32.095226,36.0899795,0.024,0,12,10,0.8,0
20260608_080029,6/8/2026,0:00:59,32.0952258,36.0899793,0.001,0,12,10,0.8,0
20260608_080029,6/8/2026,0:01:00,32.0952257,36.0899792,0.012,0,12,10,0.8,0
20260608_080029,6/8/2026,0:01:01,32.0952258,36.089979,0.018,0,12,10,0.8,0
20260608_080029,6/8/2026,0:01:02,32.0952253,36.089979,0.084,0,12,10,0.8,0
20260608_080029,6/8/2026,0:01:03,32.0952222,36.0899755,0.735,220.76,12,9,0.85,0
20260608_080029,6/8/2026,0:01:04,32.0952182,36.0899785,0.704,176.53,12,10,0.85,0
20260608_080029,6/8/2026,0:01:05,32.0952123,36.0899858,0.988,152.91,12,10,0.8,0
20260608_080029,6/8/2026,0:01:06,32.0952037,36.089997,1.445,142.75,12,10,0.8,0
20260608_080029,6/8/2026,0:01:07,32.0951952,36.0900093,1.371,137.71,12,10,0.8,0
20260608_080029,6/8/2026,0:01:08,32.0951878,36.0900188,1.071,134.96,12,10,0.8,0
20260608_080029,6/8/2026,0:01:09,32.0951843,36.0900275,0.716,129.71,12,10,0.8,0
20260608_080029,6/8/2026,0:01:10,32.0951853,36.0900305,0.256,129.71,12,10,0.8,0
20260608_080029,6/8/2026,0:01:11,32.0951863,36.0900297,0.055,129.71,12,10,0.8,0
20260608_080029,6/8/2026,0:01:12,32.0951882,36.0900238,0.873,223.5,12,10,0.8,0
20260608_080029,6/8/2026,0:01:13,32.095193,36.0900122,1.318,286.35,12,10,0.8,0
20260608_080029,6/8/2026,0:01:14,32.0951993,36.0899993,1.465,296.17,12,10,0.8,0
20260608_080029,6/8/2026,0:01:15,32.0952055,36.0899877,1.241,302.27,12,10,0.8,0
20260608_080029,6/8/2026,0:01:16,32.0952142,36.0899793,1.25,318.78,12,10,0.8,0
20260608_080029,6/8/2026,0:01:17,32.0952217,36.0899787,0.847,335.78,12,10,0.8,0
20260608_080029,6/8/2026,0:01:18,32.095223,36.0899802,0.237,335.78,12,10,0.8,0
20260608_080029,6/8/2026,0:01:19,32.0952225,36.0899812,0.183,335.78,12,10,0.8,0
20260608_080029,6/8/2026,0:01:20,32.0952237,36.0899797,0.247,335.78,12,10,0.8,0
20260608_080029,6/8/2026,0:01:21,32.0952237,36.0899788,0.008,335.78,12,10,0.8,0
20260608_080029,6/8/2026,0:01:22,32.0952245,36.0899787,0.028,335.78,12,10,0.8,0
20260608_080029,6/8/2026,0:01:23,32.0952252,36.0899787,0.012,335.78,12,10,0.8,0
20260608_080029,6/8/2026,0:01:24,32.0952258,36.089979,0.012,335.78,12,9,0.85,0
20260608_080029,6/8/2026,0:01:25,32.0952263,36.089979,0.023,335.78,12,9,0.85,0
20260608_080029,6/8/2026,0:01:26,32.0952268,36.089979,0.014,335.78,12,9,0.85,0
20260608_080029,6/8/2026,0:01:27,32.0952282,36.0899797,0.127,335.78,12,9,0.85,0
20260608_080029,6/8/2026,0:01:28,32.0952285,36.0899798,0.06,335.78,12,9,0.85,0
20260608_080029,6/8/2026,0:01:29,32.0952285,36.08998,0.031,335.78,12,10,0.8,0
20260608_080029,6/8/2026,0:01:30,32.0952283,36.0899807,0.037,335.78,12,10,0.8,0
20260608_080029,6/8/2026,0:01:31,32.095228,36.0899812,0.005,335.78,12,10,0.8,0
20260608_092040,6/8/2026,0:01:32,32.100098,36.1121127,0.95,75.43,13,6,1.75,0
20260608_092040,6/8/2026,0:01:33,32.1000918,36.1121218,0.988,128.81,13,6,1.75,0
20260608_092040,6/8/2026,0:01:34,32.100089,36.1121253,0.872,128.81,13,6,1.75,0
20260608_092040,6/8/2026,0:01:35,32.100082,36.1121275,0.855,165.09,13,6,1.75,0
20260608_092040,6/8/2026,0:01:36,32.1000742,36.1121263,0.875,187.43,13,6,1.75,0
20260608_092040,6/8/2026,0:01:37,32.10007,36.1121285,0.772,156.07,13,5,1.75,0
20260608_092040,6/8/2026,0:01:38,32.1000703,36.1121248,0.561,156.07,13,5,1.75,0
20260608_092040,6/8/2026,0:01:39,32.1000665,36.112122,0.526,156.07,13,5,1.75,0
20260608_092040,6/8/2026,0:01:40,32.1000598,36.1121202,0.684,192.82,13,6,1.75,0
20260608_092040,6/8/2026,0:01:41,32.1000628,36.1121097,0.841,288.64,13,6,1.75,0
20260608_092040,6/8/2026,0:01:42,32.1000688,36.1121025,0.704,314.53,13,5,1.75,0
20260608_092040,6/8/2026,0:01:43,32.1000722,36.1121042,0.298,314.53,13,5,1.75,0
20260608_092040,6/8/2026,0:01:44,32.1000805,36.1121057,0.423,8.7,13,5,1.75,0
20260608_092040,6/8/2026,0:01:45,32.100084,36.1120978,0.476,297.61,13,5,1.75,0
20260608_092040,6/8/2026,0:01:46,32.1000927,36.112097,0.515,355.55,13,5,1.75,0
20260608_092040,6/8/2026,0:01:47,32.1001042,36.1120995,0.724,10.43,13,5,1.75,0
20260608_092040,6/8/2026,0:01:48,32.100117,36.1121008,0.92,4.92,13,5,1.75,0
20260608_092040,6/8/2026,0:01:49,32.1001313,36.1121045,1.108,12.36,13,5,1.75,0
